product_id,product_name,category,brand,unit_price,unit_cost,stock_qty,is_active
1,PlayZone Clothing Its-001,Clothing,PlayZone,229.43,122.63,373,1
2,FreshMart Beauty Foreign-002,Beauty,FreshMart,536.34,271.37,389,0
3,PlayZone Beauty Sit-003,Beauty,PlayZone,302.94,119.23,382,0
4,NovaTech Toys Green-004,Toys,NovaTech,636.38,409.74,121,1
5,NovaTech Beauty They-005,Beauty,NovaTech,459.8,227.67,295,1
6,FreshMart Books City-006,Books,FreshMart,498.94,256.34,393,1
7,GlowLab Beauty Although-007,Beauty,GlowLab,797.36,323.65,395,1
8,GlowLab Clothing Fund-008,Clothing,GlowLab,611.79,262.37,13,0
9,UrbanWear Home & Kitchen Risk-009,Home & Kitchen,UrbanWear,185.56,90.41,151,1
10,FitPro Beauty Other-010,Beauty,FitPro,364.78,188.22,258,1
11,PageTurner Automotive Place-011,Automotive,PageTurner,117.66,65.2,381,1
12,HomeNest Health Investment-012,Health,HomeNest,452.49,230.39,276,1
13,HomeNest Automotive Try-013,Automotive,HomeNest,302.7,115.04,316,1
14,DriveMax Home & Kitchen Accept-014,Home & Kitchen,DriveMax,754.03,401.82,205,1
15,PlayZone Automotive Executive-015,Automotive,PlayZone,715.52,350.89,0,1
16,FitPro Automotive Road-016,Automotive,FitPro,170.96,97.45,386,1
17,FreshMart Home & Kitchen Determine-017,Home & Kitchen,FreshMart,658.83,381.71,124,1
18,PlayZone Home & Kitchen Someone-018,Home & Kitchen,PlayZone,315.84,128.87,141,1
19,UrbanWear Toys Or-019,Toys,UrbanWear,582.15,306.08,72,1
20,NovaTech Beauty Study-020,Beauty,NovaTech,511.22,258.77,306,1
21,FitPro Grocery Middle-021,Grocery,FitPro,658.67,337.49,386,0
22,FitPro Beauty Offer-022,Beauty,FitPro,759.83,275.28,320,1
23,HomeNest Health Money-023,Health,HomeNest,701.6,391.09,115,1
24,VitalCare Clothing Form-024,Clothing,VitalCare,767.98,468.1,253,1
25,PlayZone Toys Reach-025,Toys,PlayZone,50.04,19.09,375,1
26,DriveMax Sports Eat-026,Sports,DriveMax,266.42,146.56,6,1
27,PageTurner Grocery Fund-027,Grocery,PageTurner,470.69,196.0,399,1
28,DriveMax Grocery Main-028,Grocery,DriveMax,487.27,253.23,341,1
29,UrbanWear Health Section-029,Health,UrbanWear,474.32,278.94,60,0
30,GlowLab Books Meeting-030,Books,GlowLab,466.19,262.37,367,1
